priority,slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
B_ALIGNER_ONLY,bratya-karamazovy,24,ЧАСТЬ ПЕРВАЯ — КНИГА ТРЕТЬЯ — XI Еще одна погибшая репутация,U5blK3O_Ivs,9:35:50,9:33:58,-112,1.0,от города до монастыря было не более версты,от города до монастыря было не более версты,,https://youtu.be/U5blK3O_Ivs?t=34434,34496
B_ALIGNER_ONLY,dyadyushkin-son,13,Глава 14,Q3SXgeVah0k,5:19:36,5:19:05,-31,0.967,зинаида афанасьевна вообще говоря была чрезвычайно романтического характера,афанасьевна вообще говоря была чрезвычайно романического характера не,,https://youtu.be/Q3SXgeVah0k?t=19141,
B_ALIGNER_ONLY,geroy-nashego-vremeni,2,Глава 3,aA87bXjXt60,1:49:31,1:49:05,-26,0.779,расставшись с максимом максимычем я живо проскакал терекское,расставшись с максимом максимычем я живо проскакал терекское,,https://youtu.be/aA87bXjXt60?t=6541,
B_ALIGNER_ONLY,kazaki,0,Глава 1,iyPsxqSj-zQ,0:03:13,0:00:16,-177,0.981,все затихло в москве редко редко где слышится,все затихло в москве редко редко где слышится,,https://youtu.be/iyPsxqSj-zQ?t=13,
B_ALIGNER_ONLY,kazaki,11,Глава 12,iyPsxqSj-zQ,2:17:01,2:16:13,-48,0.669,ванюша между тем успевший уладить свое хозяйство и,по плечу молодого темпе даже обрив у ротного,,https://youtu.be/iyPsxqSj-zQ?t=8169,8176
B_ALIGNER_ONLY,kazaki,18,Глава 19,iyPsxqSj-zQ,3:30:15,3:29:25,-50,0.88,туман частью поднимался открывая мокрые камышовые крыши частью,туман частью поднимался открывая мокрые камышовые крыши частью,,https://youtu.be/iyPsxqSj-zQ?t=12561,
B_ALIGNER_ONLY,kazaki,23,Глава 24,iyPsxqSj-zQ,4:23:52,4:21:30,-142,0.638,было пять часов утра ванюша раздувал голенищем самовар,было 5 утра ванюша раздува голенищем самовар на,,https://youtu.be/iyPsxqSj-zQ?t=15686,15689
B_ALIGNER_ONLY,kazaki,34,Глава 35,iyPsxqSj-zQ,6:00:56,6:00:20,-36,0.849,на другой день был праздник вечером весь народ,домой и не взглянув ни вечером весь народ,,https://youtu.be/iyPsxqSj-zQ?t=21617,21633
B_ALIGNER_ONLY,krasnyy-smekh,7,Глава 8,Io5The4PKHE,1:13:55,1:13:28,-27,0.74,вокруг самовара вокруг настоящего самовара из которого пар,8 вокруг самовара вокруг настоящего паровоза даже стекло,,https://youtu.be/Io5The4PKHE?t=4405,4410
B_ALIGNER_ONLY,otrochestvo,5,Глава 6,n3Wsnd8h9_s,0:46:45,0:46:17,-28,0.838,но ни одна из перемен происшедших в моем,глазах глава маша нони одна из перемен происшедших,,https://youtu.be/n3Wsnd8h9_s?t=2773,
B_ALIGNER_ONLY,otrochestvo,10,Глава 11,n3Wsnd8h9_s,1:23:02,1:21:48,-74,0.863,по окончании годичного траура бабушка оправилась несколько от,по окончании годичного траура бабушка оправилась несколько отча,,https://youtu.be/n3Wsnd8h9_s?t=4904,
B_ALIGNER_ONLY,otrochestvo,18,Глава 19,n3Wsnd8h9_s,2:27:13,2:26:13,-60,0.924,едва ли мне поверят какие были любимейшие и,едва ли мне поверят какие были любимей и,,https://youtu.be/n3Wsnd8h9_s?t=8770,
B_ALIGNER_ONLY,ottsy-i-deti,1,Глава 2,0rA3zDZvy4M,0:09:54,0:09:16,-38,0.926,дай же отряхнуться папаша говорил несколько сиплым от,долежат рехнуться папаша говорил несколько сиплым от дороги,,https://youtu.be/0rA3zDZvy4M?t=553,
B_ALIGNER_ONLY,ottsy-i-deti,9,Глава 10,0rA3zDZvy4M,1:33:50,1:31:11,-159,0.88,прошло около двух недель жизнь в марьине текла,в двух недель жизнь в марине текла своим,,https://youtu.be/0rA3zDZvy4M?t=5467,
B_ALIGNER_ONLY,ottsy-i-deti,14,Глава 15,0rA3zDZvy4M,2:53:08,2:52:47,-21,0.965,посмотрим к какому разряду млекопитающих принадлежит сия особа,посмотрим какому разряду млекопитающих принадлежит сия особого говорил,,https://youtu.be/0rA3zDZvy4M?t=10364,10365
B_ALIGNER_ONLY,ottsy-i-deti,15,Глава 16,0rA3zDZvy4M,3:05:54,3:03:56,-118,0.89,усадьба в которой жила анна сергеевна стояла на,усадьбы в которой жила на сергевна я стояла,,https://youtu.be/0rA3zDZvy4M?t=11032,11035
B_ALIGNER_ONLY,ottsy-i-deti,18,Глава 19,0rA3zDZvy4M,4:10:03,4:08:41,-82,0.932,как ни владела собою одинцова как ни стояла,как него дела с собою одинцово как не,,https://youtu.be/0rA3zDZvy4M?t=14918,
B_ALIGNER_ONLY,ottsy-i-deti,25,Глава 26,0rA3zDZvy4M,7:20:19,7:18:13,-126,0.913,покойный одинцов не любил нововведений но допускал некоторую,покойный одинцов не любил нововведения но допускал некоторую,,https://youtu.be/0rA3zDZvy4M?t=26290,
B_ALIGNER_ONLY,vechnyy-muzh,6,Глава 7,Ozls9E3_3pk,2:04:24,2:03:53,-31,0.968,он ужасно спешил узнать давеча меня ошеломило давеча,он ужасно спешил узнать давича меня ошаломила давича,,https://youtu.be/Ozls9E3_3pk?t=7430,
